name,category,weight
Garmin Montana 680t GPS,Handheld GPS,289
Goal Zero Yeti 400 Solar Generator,Portable Power Devices,13154
DeLorme inReach SE 2-Way Satellite Communicator,Satellite Messengers,198
Goal Zero Guide 10 Plus Adventure Kit Solar Charger,Solar Chargers,538
Goal Zero Venture 30 Solar Kit,Portable Power Devices,612
Goal Zero Nomad 7M Solar Panel,Solar Chargers,368
Goal Zero Boulder 30 Solar Panel,Solar Chargers,2948
Garmin Monterra GPS with U.S. TOPO,Handheld GPS,326
Goal Zero Yeti 1250 Solar Generator Kit,Solar Chargers,49895
ACR Electronics ResQLink 406 GPS Personal Locator Beacon,Personal Locator Beacons,130
SPOT Gen3 Satellite GPS Messenger,Satellite Messengers,113
Garmin Foretrex 401 GPS,Wrist GPS,64
Garmin Oregon 650t GPS,Handheld GPS,209
DeLorme inReach Explorer Satellite Messenger,Satellite Messengers,189
Garmin Montana 610 GPS,Handheld GPS,289
ACR Electronics ResQLink+ GPS Personal Locator Beacon,Personal Locator Beacons,153
Garmin Rino 650 GPS/2-Way Radio,Two-Way Radios,320
Garmin GPSMAP 64st GPS,Handheld GPS,260
C Crane CC WX Pocket Radio,Weather Radios,107
Garmin eTrex 20x GPS,Handheld GPS,141
Garmin eTrex 20x TOPO Bundle,Handheld GPS,141
Goal Zero Nomad 13 Solar Panel,Solar Chargers,737
C Crane CCRadio-2E Enhanced Radio,Weather Radios,1814
Garmin eTrex Touch 35t GPS,Handheld GPS,158
Goal Zero Torch 250 Flashlight,Flashlights,408
Goal Zero Yeti 150 Solar Generator,Portable Power Devices,5443
JayBird BlueBuds X Premium Bluetooth Earbuds,Headphones,14
Outdoor Tech Kodiak  Waterproof Portable Power Bank,Portable Power Devices,266
JayBird X2 Premium Wireless Earbuds,Headphones,14
BioLite NanoGrid LED Lantern and Portable USB Charger,Electric Lanterns,269
Goal Zero Switch 10 Multi-Tool Kit,Portable Power Devices,476
Garmin GPSMAP 64 GPS,Handheld GPS,260
Garmin eTrex 30x GPS,Handheld GPS,141
Garmin Foretrex 301 GPS,Wrist GPS,64
Garmin eTrex Touch 25 GPS,Handheld GPS,158
