name,category,weight
Leatherman New Wave Multi-tool,Multi-Tools,240
Nikon Trailblazer ATB Waterproof 8 x 25 Binoculars,Binoculars,280
Gerber Freescape Hatchet,Axes and Hatchets,980
Nikon Monarch 7 10 x 42 Waterproof Binoculars,Binoculars,669
Leatherman Stainless-Steel Tread Bracelet Multitool - Black,Multi-Tools,167
Leki Wanderfreund Antishock Walking Staff - Single,Hiking Staffs,257
Leatherman Charge Titanium TTi Multi-tool,Multi-Tools,232
Nikon ACULON A211 Zoom 10-22 x 50 Binoculars,Binoculars,972
Leatherman Stainless-Steel Tread Bracelet Multitool,Multi-Tools,167
REI XR 10 x 32 Waterproof Binoculars,Binoculars,453
Suunto MC-2G Navigator Compass,Compasses,73
Leatherman Raptor Shears Medical Multi-tool,Rescue Tools,164
Benchmade 15031BB-2 North Fork Knife,Pocket Knives,90
Leatherman Sidekick Multi-tool,Multi-Tools,198
Leki Sierra Antishock  SLS Staff,Hiking Staffs,260
Nikon Prostaff 7S 8 x 42 Binoculars,Binoculars,649
REI W6 10 x 26 Waterproof Binoculars,Binoculars,453
Mountainsmith Trekker FX 7075 Monopod/Walking Staff,Hiking Staffs,297
Swiss Army Huntsman Knife,Pocket Knives,113
Nikon Monarch 5 8 x 42 Waterproof Binoculars,Binoculars,589
Leatherman Skeletool CX Multi-tool,Multi-Tools,141
Wetterlings Expedition Hatchet,Axes and Hatchets,878
Nikon Trailblazer ATB Waterproof 10 x 25 Binoculars,Binoculars,280
Gerber Bear Grylls Ultimate Knife,Fixed-Blade Knives,0
Alpen Wings 10 x 42 Binoculars,Binoculars,623
REI XR 8 x 42 Waterproof Binoculars,Binoculars,680
Nikon Monarch 3 10 x 42 Waterproof Binoculars,Binoculars,700
REI XR 8 x 32 Waterproof Binoculars,Binoculars,453
Benchmade 585 Mini-Barrage Knife,Pocket Knives,96
REI Z13 10-30 x 25 Monocular,Monoculars,124
Benchmade 551 Griptilian Knife,Pocket Knives,92
Leki Wanderfreund SL Walking Staff - Single,Hiking Staffs,266
U-Dig-It Stainless-Steel Hand Shovel,Camp Shovels,0
Brunton TruArc 3 Compass,Compasses,31
Nikon Monarch 7 8 x 42 Waterproof Binoculars,Binoculars,649
"Sven Folding Saw - 15""",Camp Saws,425
Benchmade 162 Bushcrafter Knife,Fixed-Blade Knives,218
Benchmade 580S Barrage Knife,Pocket Knives,119
Nikon Prostaff 7S 8 x 30 Waterproof Binoculars,Binoculars,419
Brunton World's Best Compass,Compasses,192
Leatherman Surge Multi-tool,Multi-Tools,340
Suunto M-9 Wrist Compass,Compasses,34
Suunto Clipper L-B NH Compass,Compasses,5
Suunto M-3G Global Pro Compass,Compasses,47
Leatherman Juice CS4 Multi-tool,Multi-Tools,158
Benchmade 556 Mini-Griptilian Serrated Locking Knife - Black,Pocket Knives,70
Nikon Monarch 5 10 x 42 Waterproof Binoculars,Binoculars,598
Benchmade 556 Mini-Griptilian Knife,Pocket Knives,72
Suunto MCB Amphibian Compass,Compasses,36
Suunto M-3 D Leader Compass,Compasses,45
Carson Aim 50mm Refractor Telescope - 2015,Telescopes,589
Benchmade 940 Osborne Knife,Pocket Knives,82
"Sven Folding Saw - 21""",Camp Saws,481
Gerber Dime Keychain Multi-tool,Multi-Tools,62
Leatherman Squirt PS4 Multi-tool,Multi-Tools,53
Suunto A-10 Compass,Compasses,30
Benchmade 556 Mini-Griptilian Serrated Locking Knife - Olive,Pocket Knives,70
Nikon Aculon T51 10 x 24 Binoculars,Binoculars,201
Benchmade 375 Adamas Fixed Knife with Paracord,Fixed-Blade Knives,158
Benchmade 530 Serrated Locking Knife,Pocket Knives,51
Benchmade 530 Locking Knife,Pocket Knives,53
Benchmade Osborne Axis Lock Knife,Pocket Knives,82
Gerber Gorge Folding Shovel,Camp Shovels,793
GSI Outdoors Cathole Sanitation Trowel,Camp Shovels,87
Benchmade 551 Griptilian Serrated Locking Knife - Black,Pocket Knives,106
Nikon Travelite VI 12 x 25 Binoculars,Binoculars,274
Leatherman Skeletool Multi-tool,Multi-Tools,141
REI XR 8 x 25 Waterproof Binoculars,Binoculars,396
Benchmade 585 Mini Barrage Knife,Pocket Knives,96
Brunton TruArc 15 Compass,Compasses,90
Nikon Aculon T51 8 x 24 Binoculars,Binoculars,201
Leatherman OHT Multi-tool,Multi-Tools,280
Alpen 8 x 25 Waterproof Monocular,Monoculars,141
Gerber Balance Multi-Tool - 2013,Multi-Tools,198
Swiss Army RangerGrip 79 Pocket Knife,Pocket Knives,161
Gerber E-Tool Folding Spade,Camp Shovels,1057
Nikon Prostaff 7S 10 x 30 Waterproof Binoculars,Binoculars,419
REI ED 10 x 32 Waterproof Binoculars,Binoculars,368
Light My Fire Swedish FireKnife - 2014,Fixed-Blade Knives,96
Gerber Gator Machete,Fixed-Blade Knives,510
Nikon ProStaff 5 10 x 42 Binoculars,Binoculars,649
Nikon ACULON A211 8 x 42 Binoculars,Binoculars,765
Gerber Bear Grylls Compact Parang - 2014,Fixed-Blade Knives,385
Leatherman Micra Tool - Colors,Multi-Tools,49
Brunton 9077 Lensatic Compass,Compasses,93
Leatherman Rebar Multi-tool,Multi-Tools,189
Swiss Army Classic Knife,Pocket Knives,36
Gerber Paraframe I Knife - Serrated,Pocket Knives,76
Nikon Prostaff 5 8 x 42 Waterproof Binoculars,Binoculars,646
Gerber Suspension Multi-Pliers,Multi-Tools,189
REI Therm-o-Compass,Compasses,9
REI XR 10 x 50 Waterproof Binoculars,Binoculars,779
Columbia River Eat'N Tool,Camping Sporks,42
Kershaw Cryo II BlackWash Pocket Knife,Pocket Knives,155
Sea to Summit Pocket Trowel,Camp Shovels,99
Benchmade 470-1 Emissary Knife,Pocket Knives,62
Swiss Army Champ Knife,Pocket Knives,209
Nikon Aculon W10 10 x 21 Waterproof Binoculars,Binoculars,215
REI Compact Zoom 8-17 x 25 Binoculars,Binoculars,311
Gerber Freescape Camp Saw,Camp Saws,419
Gerber Bear Grylls Folding Sheath Knife,Pocket Knives,0
Swiss Army EvoGrip S17 Knife,Pocket Knives,91
Leupold BX-1 Yosemite 10x30mm Waterproof Binoculars,Binoculars,481
Leatherman Charge AL Multi-tool,Multi-Tools,238
Buck 110 Classic Folding Hunter Knife,Pocket Knives,204
Swiss Army Classic SD Knife,Pocket Knives,36
Swiss Army Mountaineer Pocket Knife,Pocket Knives,99
Nikon ACULON A211 10 x 50 Binoculars,Binoculars,907
Gerber Propel Downrange AO Knife,Pocket Knives,121
Benchmade 112S H2O Fixed-Blade Knife,Fixed-Blade Knives,90
Leatherman Freestyle Multi-tool,Multi-Tools,127
Gerber Gator Combo Axe,Axes and Hatchets,907
Gerber Bear Grylls Ultra Compact Knife - 2014,Fixed-Blade Knives,127
Benchmade 551 Griptilian Serrated Locking Knife - Sand,Pocket Knives,106
Swiss Army Classic SD Knife - 2013,Pocket Knives,36
Carson Hawk Binoculars 5 x 30 - Kids',Binoculars,138
Buck Nobleman Ti CF Folding Knife,Pocket Knives,82
Petzl Spatha Knife,Pocket Knives,42
Gerber Skyridge Folding Knife,Pocket Knives,150
REI KU 8 x 22 Binoculars,Binoculars,255
Gerber 39 Series Sheath Folding Knife,Pocket Knives,178
Leatherman Style CS Multi-tool,Multi-Tools,39
Gerber STL 2.0 Fine Edge Knife,Pocket Knives,28
MSR Alpine Chef's Knife,Fixed-Blade Knives,99
Swiss Army Camper Knife,Pocket Knives,90
Leatherman Squirt PS4 Multi-tool,Multi-Tools,53
Swiss Army Climber Knife,Pocket Knives,99
Gerber Paraframe II Knife - Serrated,Pocket Knives,110
REI XR 10 x 25 Waterproof Binoculars,Binoculars,396
REI Mini Compass,Compasses,8
Swiss Army Explorer Knife with Pouch,Pocket Knives,119
Swiss Army EvoWood 10 Pocket Knife,Pocket Knives,56
Gerber STL 2.5 Drop Point Fine Edge Knife,Pocket Knives,42
Swiss Army Spartan REI Cities Pocket Knife,Pocket Knives,56
Smith's Pocket Pal Knife Sharpener,Knife Sharpeners,42
Gerber EVO Titanium-Coated Serrated Knife,Pocket Knives,79
Swiss Army Spartan Knife,Pocket Knives,73
Buck Bantam BKS 285 Knife,Pocket Knives,68
Gerber Mini Paraframe Serrated Knife,Pocket Knives,39
Swiss Army Climber Knife with Pouch,Pocket Knives,99
Helle Skala Folding Knife,Pocket Knives,167
Swiss+Tech Folding Rescue Knife - 2015,Pocket Knives,181
Kershaw Leek Knife,Pocket Knives,85
Leatherman Juice S2 Multi-tool,Multi-Tools,130
Swiss Army Super Tinker Swiss Army Knife,Pocket Knives,82
