name,category,weight
Ursack S29 AllWhite Bear Bag,Bear-Resistant Food Containers,221
"REI MultiTowel Lite X Large Towel - 54"" x 25""",Camp Towels,181
REI Emergency Kit,Emergency Supplies,6633
BearVault BV500 Food Container,Bear-Resistant Food Containers,1162
REI Backpacker Extended First-Aid Kit,First-Aid Kits,595
REI Backpacker Weekend First-Aid Kit,First-Aid Kits,269
REI Camper First-Aid Kit,First-Aid Kits,1219
BearVault BV450 Solo Food Container,Bear-Resistant Food Containers,935
PackTowl Personal Towel - S,Camp Towels,28
PackTowl Personal Towel - M,Camp Towels,56
PackTowl Personal Towel - L,Camp Towels,113
PackTowl Personal Towel - XL,Camp Towels,240
PackTowl Personal Towel - XXL,Camp Towels,297
Cleanwaste PETT Portable Environmental Toilet,Camp Toilets,3175
Space All-Weather Blanket,Emergency Supplies,340
NEMO Helio Pressure Shower,Camp Showers,623
Garcia Bear-Resistant Container,Bear-Resistant Food Containers,1247
Lifeline Disaster Kit - 2 Person - 72 Hour,Emergency Supplies,8107
Light My Fire FireSteel Scout 2.0 Fire Starter,Fire Starters,28
Sani-Fem Freshette Feminine Urinary Director,Women's Hygiene Products,28
Leatherman Raptor Shears Medical Multi-tool,Rescue Tools,164
Counter Assault Bear Deterrent Spray - 8.1 oz.,Bear Spray,311
Counter Assault Bear Deterrent Spray - 10.2 oz.,Bear Spray,425
Cleanwaste WAG BAG Waste Bags - Package of 12,Camp Toilets,0
Armored Outdoor Gear Ratsack Cache Food Storage Bag - S,Bear-Resistant Food Containers,170
Armored Outdoor Gear Ratsack Cache Food Storage Bag - M,Bear-Resistant Food Containers,226
Armored Outdoor Gear Ratsack Cache Food Storage Bag - L,Bear-Resistant Food Containers,297
"REI MultiTowel Lite Large Towel - 36"" x 16.5""",Camp Towels,82
REI Day Hiker First-Aid Kit,First-Aid Kits,102
Snow Peak GigaPower Torch,Lighters,175
Adventure Medical Kits UltraLight / Watertight .7 First-Aid Kit,First-Aid Kits,226
REI Backpacker Multiday First-Aid Kit,First-Aid Kits,368
UCO Stormproof Match Kit,Matches,48
Sea to Summit Tek Towel Wash Kit - 2014,Camp Towels,311
U-Dig-It Stainless-Steel Hand Shovel,Camp Shovels,0
LIGHTER1 Lil' Sami Polycarbonate Bear-Resistant Food Canister,Bear-Resistant Food Containers,793
Adventure Medical Kits Smart Travel First-Aid Kit,First-Aid Kits,481
humangear GoToob Bottle - 3 fl. oz. - Package of 3,Bottle Sets,0
Adventure Medical Kits Mountain Fundamentals First-Aid Kit,First-Aid Kits,963
"REI MultiTowel XX Large Towel - 59"" x 36""",Camp Towels,433
SOL Escape Lite Bivvy,Bivy Sacks,155
REI Emergency Go Bag,Emergency Supplies,4592
Heat Factory Hand Warmers Bonus 12-Pack,Emergency Supplies,504
"REI MultiTowel Lite Medium Towel - 22"" x 12.5""",Camp Towels,39
Seattle Sports PVC-Free Sun Shower - 2.5 Gal,Camp Showers,226
Seattle Sports PVC-Free Sun Shower - 4 Gal,Camp Showers,0
Seattle Sports PVC-Free Sun Shower - 5 Gal,Camp Showers,0
SOL Escape Bivy,Emergency Supplies,229
Soto Pocket Torch,Lighters,51
Ursack Minor Critter Bag,Bear-Resistant Food Containers,150
Sea to Summit Pocket Towel - S,Camp Towels,42
Sea to Summit Pocket Towel - L,Camp Towels,110
humangear GoToob Bottle - 1.25 fl. oz. - Package of 3,Bottle Sets,0
Sea to Summit Pocket Shower,Camp Showers,148
Exotac NanoStriker XL Firestarter,Fire Starters,25
SOL Emergency Bivvy,Emergency Supplies,107
Gerber Gorge Folding Shovel,Camp Shovels,793
GSI Outdoors Cathole Sanitation Trowel,Camp Shovels,87
SOL Rescue Howler Whistle - Package of 2,Whistles,14
SOL Emergency Blanket,Emergency Supplies,70
PackTowl Original Towel - S,Camp Towels,22
PackTowl Original Towel - M,Camp Towels,34
PackTowl Original Towel - L,Camp Towels,70
PackTowl Original Towel - XL,Camp Towels,121
"REI MultiTowel Large Towel - 36"" x 16.5""",Camp Towels,121
Adventure Medical Kits UltraLight / Watertight .5 First-Aid Kit,First-Aid Kits,104
Lifeline Disaster Kit - 1 Person - 72 Hour,Emergency Supplies,3855
Sea to Summit Head Net with Insect Shield,Mosquito Net Clothing,36
No Rinse Bathing Wipes,Camping Soap,198
Adventure Medical Kits Mountain Day Tripper First-Aid Kit,First-Aid Kits,408
"REI MultiTowel Lite Small Towel - 14"" x 10""",Camp Towels,21
PackTowl Ultralite Towel - M,Camp Towels,22
PackTowl Ultralite Towel - L,Camp Towels,51
PackTowl Ultralite Towel - XL,Camp Towels,87
PackTowl Ultralite Towel - XXL,Camp Towels,141
Pro-Tec Athletics Patellar Tendon Strap,Support Braces,14
Sawyer Extractor Pump Kit,Skin Treatments,113
Greatland Laser Rescue Laser Flare - Magnum,Lightsticks,0
Zippo Windproof Lighter,Lighters,53
REI TSA Friendly Flat Bottle Kit,Bottle Sets,0
SOL Origin Survival Kit,Emergency Supplies,177
YETI Bear Proof Cooler Locks - Package of 2,Camp Coolers,0
Counter Assault Bear Deterrent Spray Holster - 230/290g,Bear Spray,36
Aurelle TOOB Brush,Camp Toothbrushes,28
Sea to Summit Pocket Trowel,Camp Shovels,99
Reliance Double Doodie Waste Bags,Camp Toilets,481
Grabber Toe Warmers - 8 Pairs,Emergency Supplies,0
SOL Rescue Flash Signal Mirror,Signal Mirrors,9
Zamst RK-1 Knee Sleeve - Right Knee,Support Braces,158
Coghlan's Bug Jacket,Mosquito Net Clothing,113
Pro-Tec Athletics Gel Force Knee Sleeve,Support Braces,170
Soto Pocket Torch XT,Lighters,51
Diva DivaCup - Model 1,Women's Hygiene Products,14
Sea to Summit Lite Line Clothesline,Clotheslines,36
humangear GoTubb 0.9 cu. in. Container - Package of 3,Small Containers,17
Pro-Tec Athletics Iliotibial Band Wrap,Support Braces,21
Adventure Medical Kits Mountain Weekender First-Aid Kit,First-Aid Kits,708
Sea to Summit Head Net,Mosquito Net Clothing,34
Exotac MatchCap Survival Match Case,Match Cases,22
Nalgene Polyethylene Bottle - 4 fl. oz.,Small Containers,25
Life Gear Reusable LED Glow Sticks - Set of 2,Lightsticks,62
REI Mini MultiTowel,Camp Towels,22
humangear GoToob Bottle - 2 fl. oz. - Package of 3,Bottle Sets,0
"REI MultiTowel X Large Towel - 54"" x 25""",Camp Towels,269
QuikClot Advanced Clotting Sponge - 50g,Bandages,49
Cotton Buds Tissue To Go Toilet Paper,Camp Toilets,36
Repel Citronella Candle,Insect Repellent Candles,283
LIGHTER1 Big Daddy Polycarbonate Bear-Resistant Food Canister,Bear-Resistant Food Containers,1219
Zippo Hand Warmer - Black,Emergency Supplies,79
Coghlan's Six-Function Whistle,Whistles,28
Adventure Medical Kits Tactical Field Trauma Kit,First-Aid Kits,453
Light My Fire FireSteel Scout Fire Starter - 2014,Fire Starters,28
Nalgene Polyethylene Bottle - 2 fl. oz.,Small Containers,14
Nalgene Polyethylene Bottle - 8 fl. oz.,Small Containers,28
Eagle Creek Silicone Bottle Set,Squeeze Bottles,226
Hyperice Pro Knee Ice Pack,Pain Relief Treatments,907
UCO Stormproof Matches - Package of 2,Matches,0
Zippo Cedar Campfire Starter,Tinder,90
Reliance Double Doodie Waste Bags with Bio-Gel,Camp Toilets,453
Coghlan's Emergency Tinder,Tinder,28
AMK QuikClot Advanced Clotting Gauze,Bandages,39
Counter Assault Bear Keg,Bear-Resistant Food Containers,1644
Counter Assault Bear Spray Chest Holster - 10.2 fl. oz. Canister,Bear Spray,96
Space Emergency Blanket,Emergency Supplies,85
Ursack Aluminum Liner,Bear-Resistant Food Containers,306
Ultimate Survival Technologies Floating Lighter,Lighters,22
Light My Fire FireSteel Army Model - 2014,Fire Starters,53
Liberty Mountain The Tick Key,First-Aid Supplies,5
Stanley Shaker Happy Hour System,Bottle Sets,450
Garcia Carrying Case,Bear-Resistant Food Containers,99
QuikClot Advanced Clotting Sponge - 25g,Bandages,24
MaxxDry GreenHeat Rechargeable Hand Warmer - 2014,Hand and Foot Warmers,130
