name,category,weight
Black Diamond Spot Headlamp - 2016,LED Headlamps,90
Black Diamond Cosmo Headlamp - 2016,LED Headlamps,85
Black Diamond Gizmo Headlamp - 2016,LED Headlamps,82
Black Diamond Storm Headlamp,LED Headlamps,110
Petzl Tikka RXP Headlamp,LED Headlamps,116
Black Diamond Spot Headlamp,LED Headlamps,92
Black Diamond ReVolt Headlamp,LED Headlamps,96
Goal Zero Lighthouse 250 LED Lantern,Electric Lanterns,566
MPOWERD Luci Outdoor Inflatable Solar Lantern,Electric Lanterns,113
Petzl Tikka Headlamp,LED Headlamps,119
Petzl Tikkina Headlamp,LED Headlamps,119
Black Diamond Icon Headlamp,LED Headlamps,229
Ultimate Survival Technologies 30-Day Lantern,Electric Lanterns,850
Petzl NAO Headlamp,LED Headlamps,184
ENO Twilights LED Light String,General Tent Accessories,113
Black Diamond Sprinter USB Headlamp,LED Headlamps,104
Petzl Tikka XP Headlamp,LED Headlamps,119
Goal Zero Torch 250 Flashlight,Flashlights,408
Black Diamond Cosmo Headlamp,LED Headlamps,90
BioLite NanoGrid LED Lantern and Portable USB Charger,Electric Lanterns,269
Fenix E12 Flashlight,Flashlights,34
Petzl Tikka R+ Headlamp,LED Headlamps,116
Coleman Dual-Fuel 2-Mantle Lantern,Fuel-Powered Lanterns,1360
Black Diamond Apollo Lantern 15,Electric Lanterns,221
Black Diamond Moji Lantern,Electric Lanterns,85
Black Diamond Voyager Lantern - 2014,Electric Lanterns,133
Snow Peak Mini Hozuki Lantern,Electric Lanterns,87
Petzl Tikka XP Headlamp,LED Headlamps,85
MPOWERD Luci Aura Inflatable Solar Lantern,Electric Lanterns,113
MPOWERD Luci Lux Inflatable Solar Lantern,Electric Lanterns,113
Nite Ize SpotLit LED Carabiner Light,Keychain Flashlights,17
Goal Zero Light-A-Life 350 Lantern,Electric Lanterns,263
Petzl e+LITE Headlamp,LED Headlamps,26
Nitecore SRT7 Flashlight,Flashlights,219
Black Diamond Titan Lantern,Electric Lanterns,680
Petzl Tikka Plus Headlamp,LED Headlamps,119
Princeton Tec Vizz Headlamp,LED Headlamps,104
Black Diamond Wiz Headlamp - Kids' - 2014,LED Headlamps,56
Petzl Pixa 3 Pro Headlamp,LED Headlamps,209
Coleman Deluxe Propane Lantern with Hard-Shell Case,Fuel-Powered Lanterns,1672
Petzl Zipka Headlamp,LED Headlamps,119
Maglite Maglite 3D LED 3G Flashlight,Flashlights,53
Fenix PD35 Flashlight,Flashlights,99
ALPS Mountaineering Trail Star 250 Headlamp -,LED Headlamps,170
Black Diamond Icon Polar Headlamp,LED Headlamps,300
Barebones Forest Lantern,Electric Lanterns,510
Black Diamond Orbit Lantern - 2014,Electric Lanterns,133
Black Diamond Orbit Lantern,Electric Lanterns,85
Petzl Myo RXP Headlamp,LED Headlamps,175
Black Diamond Gizmo Headlamp,LED Headlamps,56
Mountain Summit Gear 300 Lumen Headlamp - 2015,LED Headlamps,164
Princeton Tec Tactical Quad Headlamp,LED Headlamps,85
Princeton Tec Sync Headlamp,LED Headlamps,82
Princeton Tec Fuel 4 LED Headlamp - 2015,LED Headlamps,77
Princeton Tec Remix Plus Headlamp,LED Headlamps,155
ENO Moonshine Lantern,Electric Lanterns,113
Coleman Signature High Tech CPX Lantern,Electric Lanterns,362
Black Diamond Voyager Lantern,Electric Lanterns,133
Nitecore MT21A Flashlight,Flashlights,113
Coleman CPX 6 Rechargeable LED Lantern - 2014,Electric Lanterns,1496
Fenix UC40 Flashlight - Ultimate Edition,Flashlights,141
Amphipod Swift-Clip Cap Light,LED Headlamps,14
UCO Tetra Lantern + Flashlight + USB Charging Station,Electric Lanterns,121
Greatland Laser Rescue Laser Flare - Magnum,Lightsticks,0
Fenix LD41 Flashlight,Flashlights,280
Petzl MYO Headlamp,LED Headlamps,223
Coleman CPX 6 Classic XL LED Lantern,Electric Lanterns,907
Petzl Zipka Headlamp,LED Headlamps,68
