name,category,weight
Arc'teryx Norvan Jacket - Men's,Men's Running Jackets,212
Salomon S-Lab Hybrid Jacket - Men's,Men's Running Jackets,119
Arc'teryx Incendo Hoodie - Men's,Men's Running Jackets,136
Arc'teryx Darter Jacket - Men's,Men's Running Jackets,280
Patagonia Houdini Pullover - Men's,Men's Running Jackets,87
Brooks LSD Lite Jacket IV - Men's,Men's Running Jackets,99
Salomon Agile Running Jacket - Men's,Men's Running Jackets,170
Marmot Dash Hybrid Jacket - Men's,Men's Running Jackets,158
Pro-Tec Athletics Patellar Tendon Strap,Support Braces,14
Arc'teryx Argus Jacket - Men's,Men's Running Jackets,385
Zamst RK-1 Knee Sleeve - Right Knee,Support Braces,158
FuelBelt High Visibility Reflective Vest - 2014,Reflective Vests,141
Pro-Tec Athletics Gel Force Knee Sleeve,Support Braces,170
Brooks LSD Lite Vest - Men's - 2014,Men's Running Jackets,113
Pro-Tec Athletics Iliotibial Band Wrap,Support Braces,21
Nathan Bandolier Reflective Running Vest,Reflective Vests,53
Marmot Aeris Jacket - Men's - 2015,Men's Running Jackets,138
Zamst A1-S Ankle Sleeve - Left Ankle,Support Braces,116
REI Trail Running Gaiters,Gaiters,127
Zamst A1-S Ankle Sleeve - Right Ankle,Support Braces,116
Pro-Tec Athletics Kinesiology Tape,Support Braces,28
Pro-Tec Athletics Arch Supports,Support Braces,14
Amphipod Vizlet Smiley Reflectors - Yellow - Package of 2,Reflective Bands,22
Zamst RK-1 Knee Sleeve - Left Knee,Support Braces,158
Zamst ZW-5 Back Support,Support Braces,286
Zamst AT-1 Achilles Brace,Support Braces,121
Zamst Wristband,Support Braces,70
Arc'teryx Stradium Jacket - Men's,Men's Running Jackets,294
Craft ER Wind Jersey - Men's - 2014,Men's Running Jackets,453
Nathan LightFit Reflective Vest,Reflective Vests,99
FuelBelt Speedster Reflective Vest - 2014,Reflective Vests,141
Salomon Fast Wing Jacket - Men's,Men's Running Jackets,70
Amphipod Vizlet Smiley Reflectors - Pink - Package of 2,Reflective Bands,22
Brooks LSD Lite Jacket III - Men's - 2014,Men's Running Jackets,113
