name,category,weight
Hydro Flask Wide-Mouth Vacuum Water Bottle - 32 fl. oz.,Vacuum Bottles,399
Hydro Flask Wide-Mouth Vacuum Bottle - 40 fl. oz.,Vacuum Bottles,481
Hydro Flask Wide-Mouth Lid with Straw,Water Bottle Accessories,51
Platypus Gravityworks Water Filter System - 4 Liter,Gravity Water Filters,326
Hydro Flask Wide-Mouth Vacuum Bottle - 18 fl. oz.,Vacuum Bottles,314
Hydro Flask Standard-Mouth Vacuum Bottle - 24 fl. oz.,Water Bottles,453
Katadyn Hiker PRO Water Filter,Pump Water Filters,311
SteriPEN Ultra Water Purifier,Ultraviolet Water Purifiers,141
REI Nalgene Wide-Mouth Loop-Top Water Bottle - 32 fl. oz.,Water Bottles,175
Hydro Flask Wide-Mouth Vacuum Bottle - 64 fl. oz.,Vacuum Bottles,765
LifeStraw Mission Gravity Water Purifier - 5 LTR,Gravity Water Purifiers,368
LifeStraw Mission Gravity Water Purifier - 12 LTR,Gravity Water Purifiers,368
Sawyer Complete Water Treatment System - 4 Liter,Gravity Water Filters,510
MSR MiniWorks EX Water Filter,Pump Water Filters,413
CamelBak Antidote Reservoir - 100 fl. oz.,Reservoirs,184
SteriPEN Adventurer Opti Water Purifier,Ultraviolet Water Purifiers,0
Osprey Hydraulics Reservoir - 3 Liter,Reservoirs,309
Hydro Flask Standard-Mouth Vacuum Bottle - 21 fl. oz.,Vacuum Bottles,294
First Need XLE Elite Water Purifier,Pump Water Purifiers,453
Platypus GravityWorks Filter System Bottle Kit - 2 Liter,Gravity Water Filters,269
SteriPEN Classic 3 Water Purifier with Prefilter,Ultraviolet Water Purifiers,0
Katadyn Micropur Purification Tablets - Package of 30,Water Treatment Tablets,25
Sawyer Squeeze Water Filter - 32 fl. oz.,Inline Water Filters,85
Sawyer Mini Water Filter,Inline Water Filters,56
MSR SweetWater Water Filter,Pump Water Filters,311
Platypus Big Zip LP Reservoir - 3 Liter,Reservoirs,170
LifeStraw Water Filter,Inline Water Filters,56
Katadyn Hiker Water Filter,Pump Water Filters,311
Sawyer Complete Water Filter System - 2 Liter,Gravity Water Filters,453
Platypus GravityWorks Water Filter System Reservoir Kit - 2 Liter,Gravity Water Filters,326
Hydro Flask Hydro Flip Water Bottle Lid - Wide Mouth,Water Bottle Accessories,42
CamelBak UnBottle Insulated Reservoir - 100 fl. oz.,Reservoirs,360
MSR Dromedary Bag - 10 Liter,Water Storage Bags,283
REI Nalgene Wide-Mouth Loop-Top Water Bottle - 16 fl. oz.,Water Bottles,85
MSR AutoFlow Gravity Water Filter,Gravity Water Filters,297
CamelBak Antidote Reservoir - 70 fl. oz.,Reservoirs,181
Sawyer Mini Water Filter - Package of 2,Inline Water Filters,56
MiiR Growler Insulated Water Bottle - 64 fl. oz.,Water Bottles,907
Nalgene Wide-Mouth Loop-Top Round Bottle - 32 fl. oz.,Water Bottles,99
MSR SweetWater Water Purifier System,Pump Water Purifiers,396
Hydro Flask Standard Mouth Bottle - 18 fl. oz.,Water Bottles,374
Platypus Big Zip LP Reservoir - 2 Liter,Reservoirs,158
Katadyn Gravity Camp 6L Water Filter,Gravity Water Filters,351
CamelBak All Clear Water Purifier Bottle,Ultraviolet Water Purifiers,481
LifeStraw Go Filter Bottle - 22 fl.oz.,Water Filter Bottles,221
Sawyer Complete Water Purifier System - 4 Liter,Gravity Water Purifiers,566
Grayl Quest Water Filtration Cup - Trail,Water Filter Bottles,453
REI Wide-Mouth Loop-Top Water Bottle - 48 fl. oz.,Water Bottles,195
Osprey Hydraulics Reservoir Cleaning Kit,Reservoir Cleaners,167
MSR HyperFlow Water Filter,Pump Water Filters,221
Klean Kanteen Stainless-Steel Wide-Mouth Loop-Cap Water Bottle - 40 fl. oz.,Water Bottles,255
Nalgene Wide-Mouth Cantene - 96 fl. oz.,Water Storage Bags,63
Osprey Hydraulics LT Reservoir - 2.5L,Reservoirs,170
Katadyn Vario Water Filter,Pump Water Filters,510
Reliance Aqua-Tainer - 7 gal.,Water Jugs,907
Platypus plusBottle 1-Liter Water Bottle with Push/Pull Cap,Water Bottles,22
Klean Kanteen Stainless-Steel Water Bottle with Sport Cap - 27 fl. oz.,Water Bottles,215
Hydro Flask Standard Mouth Sports Cap,Water Bottle Accessories,39
Potable Aqua Iodine Tablets,Water Treatment Tablets,85
Guyot Designs Splashguard - Universal,Water Bottle Accessories,14
humangear GoToob Bottle - 3 fl. oz. - Package of 3,Bottle Sets,0
REI Nalgene Narrow-Mouth Loop-Top Water Bottle - 32 fl. oz.,Water Bottles,170
Klean Kanteen Stainless-Steel Wide-Mouth Water Bottle with Loop-Top Cap - 27 fl. oz.,Water Bottles,205
Osprey Hydraulics LT Reservoir - 1.5L,Reservoirs,158
CamelBak Kids' eddy Water Bottle - 14 fl. oz.,Water Bottles,141
Nalgene OTF Water Bottle,Water Bottles,136
Osprey Hydraulics Reservoir - 2 Liter,Reservoirs,283
Platypus Hoser 3.0L Reservoir - 100 fl. oz.,Reservoirs,113
Potable Aqua Pure Electrolytic Water Purifier,Water Treatment Tablets,107
MSR Dromedary Bag - 6 Liter,Water Storage Bags,246
Sea to Summit Folding Bucket - 10 Liters,Collapsible Buckets,79
Sawyer Point Zero Two Water Purifier with Bucket Adapter,Gravity Water Purifiers,362
Platypus PlatyPreserve Wine Preservation System - Package of 4,Flasks,22
Platypus Platy Bottle - 70 fl. oz.,Water Bottles,36
Klean Kanteen Insulated Stainless-Steel Wide-Mouth Bottle with Loop-Top Cap - 16 fl. oz. - 2014,Vacuum Bottles,289
Sawyer All-In-One Water Filter,Gravity Water Filters,283
Klean Kanteen Stainless-Steel Water Bottle with Sport Cap - 27 fl. oz. - 2014,Water Bottles,215
