name,category,weight
Merrell Mix Master Move Glide Road-Running Shoes - Women's,Women's Road-Running Shoes,396
Brooks Adrenaline GTS 15 Road-Running Shoes - Women's,Women's Road-Running Shoes,260
Salomon Speedcross 3 Trail-Running Shoes - Women's,Women's Trail-Running Shoes,561
Brooks PureConnect 4 Road-Running Shoes - Women's,Women's Road-Running Shoes,187
Salomon XR Mission Trail-Running Shoes - Women's,Women's Trail-Running Shoes,549
Salomon XA COMP 7 CS WP Trail-Running Shoes - Women's,Women's Trail-Running Shoes,657
HOKA ONE ONE Clifton 2 Road-Running Shoes - Women's,Women's Road-Running Shoes,408
Brooks PureGrit 3 Trail-Running Shoes - Women's,Women's Trail-Running Shoes,229
Brooks Cascadia 10 Trail-Running Shoes - Women's,Women's Trail-Running Shoes,272
Brooks Ghost 8 Road-Running Shoes - Women's,Women's Road-Running Shoes,249
Brooks Ravenna 6 Road-Running Shoes - Women's,Women's Road-Running Shoes,249
Salomon XA Comp 7 Trail-Running Shoes - Women's,Women's Trail-Running Shoes,572
Merrell All Out Charge Trail-Running Shoes - Women's,Women's Trail-Running Shoes,481
Salomon Speedcross 3 CS Trail-Running Shoes - Women's,Women's Trail-Running Shoes,623
Brooks Cascadia 10 Trail-Running Shoes - Women's,Women's Trail-Running Shoes,272
HOKA ONE ONE Challenger ATR Trail-Running Shoes - Women's,Women's Trail-Running Shoes,419
ASICS GT 2000-3 Road-Running Shoes - Women's,Women's Road-Running Shoes,476
Merrell Bare Access Arc Road-Running Shoes - Women's,Women's Road-Running Shoes,328
Vibram FiveFingers Bikila Evo Road-Running Shoes - Women's,Women's Road-Running Shoes,243
HOKA ONE ONE Bondi 4 Road-Running Shoes - Women's,Women's Road-Running Shoes,28
Brooks Adrenaline ASR 12 GTX Trail-Running Shoes - Women's,Women's Trail-Running Shoes,555
Altra Lone Peak 2.5 Trail-Running Shoes - Women's,Women's Trail-Running Shoes,521
New Balance WT10v3 Minimus Trail-Running Shoes - Women's,Women's Trail-Running Shoes,317
ASICS Gel-Nimbus 17 Road-Running Shoes - Women's,Women's Road-Running Shoes,498
Salomon XA PRO 3D CS WP Trail-Running Shoes - Women's,Women's Trail-Running Shoes,538
ASICS GT-2000 3 Trail-Running Shoes - Women's,Women's Trail-Running Shoes,515
ASICS Gel-Quantum 360 Road-Running Shoes - Women's,Women's Road-Running Shoes,561
Merrell Pace Glove 3 Cross-Training Shoes - Women's,Women's Cross-Training Shoes,328
Altra Superior 2 Trail-Running Shoes - Women's,Women's Trail-Running Shoes,425
Salomon XA Pro 3D Trail-Running Shoes - Women's,Women's Trail-Running Shoes,700
