name,category,weight
YETI Roadie 20 Cooler,Camp Coolers,7257
YETI Tundra 65 Cooler,Camp Coolers,12246
YETI Rambler Colster Koozie,Camp Coolers,235
YETI Tundra 45 Cooler,Camp Coolers,9979
Jetboil Flash Cooking System,Backpacking Stoves,432
YETI Rambler Lowball Mug - 10 fl. oz.,Camping Mugs,226
YETI Hopper 20 Cooler,Camp Coolers,1814
YETI Hopper 30 Cooler,Camp Coolers,2721
YETI Tundra 50 Cooler,Camp Coolers,11339
Camp Chef Everest 2-Burner Camp Stove,Camp Stoves,4535
BioLite Wood Burning CampStove,Backpacking Stoves,935
BioLite Wood Burning CampStove Bundle,Camp Stoves,3237
YETI Tundra 35 Cooler,Camp Coolers,7711
GSI Outdoors Pinnacle Camper Cookset,Cooksets,1644
Jetboil MiniMo Cooking System,Backpacking Stoves,396
Hydro Flask Coffee and Tea Flask - 20 fl. oz.,Camping Mugs,389
Jetboil Flash Java Kit,Backpacking Stoves,0
YETI Tundra 75 Cooler,Camp Coolers,13607
Coleman Triton Series 2-Burner Stove,Camp Stoves,4989
MSR PocketRocket Backpacking Stove,Backpacking Stoves,85
GSI Outdoors Pinnacle Dualist Ultralight Cookset,Cooksets,28
MSR WhisperLite International Backpacking Stove,Backpacking Stoves,0
Hydro Flask True Pint Glass,Camping Cups,226
MSR WhisperLite Universal Backpacking Stove,Backpacking Stoves,0
MSR WindBurner Stove System,Backpacking Stoves,439
YETI Tundra 105 Cooler,Camp Coolers,14968
MSR DragonFly Backpacking Stove,Backpacking Stoves,0
Coleman Signature Grill Stove,Camp Stoves,5896
Sea to Summit X-Pot 5-Piece Cookset,Cook Pots,595
MSR MicroRocket Stove,Backpacking Stoves,73
REI Camp Kitchen,Camp Tables,9979
Snow Peak Titanium Multi Compact Cookset,Cooksets,328
GSI Outdoors Gourmet Kitchen Set 11,Camping Utensil Sets,487
GCI Outdoor Slim-Fold Cook Station,Camp Tables,9071
Coleman Steel Belted Cooler - 54 Qt.,Camp Coolers,9185
REI Table Top French Coffee Press - 48 fl. oz.,Camp Coffee Presses,1020
GSI Outdoors Bugaboo Camper Cookset,Cooksets,1644
evrgrn 24 Pack Backpack Cooler,Camp Coolers,396
MSR XGK EX Stove,Backpacking Stoves,374
Coleman Triton InstaStart 2-Burner Stove,Camp Stoves,4989
Hydro Flask Coffee and Tea Flask - 16 fl.oz.,Camping Mugs,334
GSI Outdoors Pioneer Table Set,Camping Table Sets,2296
GSI Outdoors Pinnacle Backpacker Cookset,Cooksets,28
REI Table Top French Coffee Press - 32 fl. oz.,Camp Coffee Presses,878
GSI Outdoors Halulite Microdualist Cookset,Cooksets,510
Camp Chef Rainier Camper's Combo Stove,Camp Stoves,7257
Lodge Logic Dutch Oven - 4 Qt.,Dutch Ovens,5896
Sea to Summit Alpha Utensil Set,Camping Utensil Sets,36
MSR Alpine 4 Pot Set,Cooksets,1417
MSR Fuel Bottle with CRP Cap  - 20 fl. oz.,Fuel Bottles,148
Coleman Stainless-Steel Cooler - 54 qt.,Camp Coolers,9979
Picnic At Ascot 4 Person Picnic Backpack with Blanket,Lunch Boxes and Bags,2721
Snow Peak GigaPower Auto Stove,Backpacking Stoves,106
GSI Outdoors Pinnacle Soloist Cookset,Cooksets,309
Coleman Dual-Fuel 2 Burner Stove,Camp Stoves,5443
Snow Peak Titanium French Press - 3 Cup,Camp Coffee Presses,198
Snow Peak Titanium Double Wall 450 Mug,Camping Mugs,119
Jetboil Zip Cooking System,Backpacking Stoves,333
Snow Peak Titanium Mini Solo Cookset,Cooksets,155
Snow Peak Titanium Trek 700 Mug,Camping Mugs,136
REI Outdoor Blanket,Picnic Blankets,963
Primus FireHole 100 2-Burner Stove,Camp Stoves,5896
GSI Outdoors Enamelware Coffee Pot - 8 Servings of Coffee,Camp Coffee Pots,595
Hydro Flask Coffee and Tea Flask - 12 fl. oz.,Camping Mugs,280
Snow Peak Trek 900 Titanium Cookset,Cooksets,170
Light My Fire Meal Kit 2.0,Camping Table Sets,374
REI Campware Nonstick Cookset - Large,Cooksets,1247
Coleman Xtreme 5 Wheeled Cooler - 50 Qt.,Camp Coolers,5760
REI Camp Pack-N-Prep Tote / Table -,Camp Tables,6577
Jetboil Flash Lite Cooking System,Backpacking Stoves,311
REI Campware Nonstick Frypan - 10'',Frying Pans,521
Sea to Summit X-Pot - 2.8 Liter,Cook Pots,283
GSI Outdoors Baked Enamelware Cup - 12 oz.,Camping Cups,113
MSR Reactor Stove System,Backpacking Stoves,28
Primus Basecamp 2-Burner Stove,Camp Stoves,5216
IceMule Pro Cooler,Camp Coolers,1587
Snow Peak Titanium Spork,Camping Sporks,17
Snow Peak Trek 1400 Titanium Cookset,Cooksets,209
Camp Chef Sequoia Fire Pit,Propane Campfires,10886
Snow Peak LiteMax Stove,Backpacking Stoves,53
REI Campware Nonstick Cookset - Medium,Cooksets,878
GSI Outdoors Glacier Stainless Stemless Wineglass,Camping Glasses,82
REI Campware Nonstick Frypan - 8'',Frying Pans,323
MSR Quick 2 System Cookset,Cooksets,793
"Jetboil FluxRing Fry Pan - 8""",Frying Pans,297
REI Campware Stainless-Steel Utensil Set,Camping Utensil Sets,102
Lodge Camp Dutch Oven - 6 Qt.,Dutch Ovens,6350
Sea to Summit X-Bowl,Camping Bowls,79
Coleman FyreKnight 2-Burner Camp Stove,Camp Stoves,6939
Primus Eta Spider Stove,Backpacking Stoves,598
"LOKSAK OPSAK Odor-Proof Barrier Bags - 21"" x 12"" - Package of 2",Food Storage Containers,22
MSR Titan Tea Kettle,Camp Tea Pots,113
Light My Fire Titanium Spork,Camping Sporks,19
GSI Outdoors nFORM Crossover Kitchen Kit,Camping Utensil Sets,272
Lodge Logic Deep Camp Dutch Oven - 5 Qt.,Dutch Ovens,6350
GSI Outdoors Infinity Backpacker Mug,Camping Mugs,99
MSR Base 2 Pot Set,Cooksets,481
GSI Outdoors Java Press - 30 fl. oz.,Camp Coffee Presses,291
Sea to Summit X-Mug,Camping Mugs,68
GSI Outdoors Bugaboo Base Camper Cookset - Large,Cooksets,1474
GSI Outdoors Bugaboo Backpacker Cookset,Cooksets,28
Vargo Titanium Hexagon Backpacking Wood Stove,Backpacking Stoves,116
GSI Outdoors Hae Tea Kettle,Camp Tea Pots,164
Sea to Summit Kitchen Sink - 20 liter,Camp Sinks,178
Snow Peak Titanium Spork - Colored,Camping Sporks,17
Snow Peak Titanium Mug with HotLips,Camping Mugs,85
REI Personal Ice Box,Camp Coolers,453
Jetboil Sumo Companion Cup - 1.8 Liter,Cook Pots,354
Snow Peak Personal Cooker 3 Cookset,Cooksets,581
MSR Standard Fuel Pump,Stove Maintenance Kits,65
BioLite KettlePot,Cook Pots,464
YETI Hopper SideKick Gear Case,Camp Coolers,17
MSR Alpine 2 Pot Set,Cooksets,737
Lodge Logic Camp Dutch Oven - 1 qt.,Dutch Ovens,3175
GSI Outdoors Collapsible JavaDrip Slim Drip Coffee Maker,Drip Coffee Makers,136
Snow Peak Titanium Bowl,Camping Bowls,45
ENO LaunchPad Double Blanket,Picnic Blankets,1304
Alite Meadow Mat,Picnic Blankets,635
GSI Outdoors Glacier Stainless-Steel Tea Kettle,Camp Tea Pots,263
Primus ETA Lite Stove System,Backpacking Stoves,399
Camp Chef Popcorn Popper,Campfire Cookware,1814
MSR Dragonfly Fuel Pump,Stove Maintenance Kits,65
Snow Peak Titanium Plate,Camping Plates,56
Zojirushi Slicksteel Stainless-Steel Vacuum Mug - 16 fl. oz.,Camping Mugs,255
BioLite BaseCamp Stove,Camp Stoves,8127
