name,category,weight
REI Co-Op Down Jacket - Women's,Women's Down Jackets,249
Patagonia Lightweight Synchilla Snap-T Fleece Jacket  - Women's,Women's Fleece Jackets,362
REI Co-Op Down Jacket - Men's,Men's Down Jackets,297
Patagonia Nano Puff Jacket - Women's,Women's Synthetic Insulation Jackets,297
The North Face Venture Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,340
Patagonia Down Sweater - Women's,Women's Down Jackets,345
Patagonia Lightweight Synchilla Snap-T Fleece Jacket - Men's,Men's Fleece Jackets,411
The North Face Osito 2 Jacket - Women's,Women's Fleece Jackets,538
Patagonia Re-Tool Snap-T Fleece Pullover - Women's,Women's Fleece Jackets,453
Marmot PreCip Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,323
Patagonia Torrentshell Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,326
REI Crestrail Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,476
Patagonia Nano Puff Jacket - Men's,Men's Synthetic Insulation Jackets,340
Patagonia Down Sweater - Men's,Men's Down Jackets,371
The North Face Venture Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,399
Patagonia Torrentshell Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,354
Marmot Minimalist Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,425
Arc'teryx Beta AR Jacket - Men's,Men's Multi-Sport Rain Jackets,28
Marmot PreCip Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,368
Patagonia Down Sweater Hoody - Women's,Women's Down Jackets,399
The North Face ThermoBall Full-Zip Jacket - Men's,Men's Synthetic Insulation Jackets,360
The North Face Apex Bionic Jacket - Men's,Men's Soft-Shell Jackets,28
Patagonia Synchilla Snap-T Fleece Top - Men's,Men's Fleece Jackets,481
Patagonia Down Sweater Hoodie - Men's,Men's Down Jackets,428
Outdoor Research Foray Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,436
Mountain Hardwear Nitrous Hooded Down Parka - Women's,Women's Down Jackets,368
The North Face Denali Fleece Jacket - Women's,Women's Fleece Jackets,581
Patagonia Nano Puff Hoodie Jacket - Women's,Women's Synthetic Insulation Jackets,326
Arc'teryx Beta LT Hybrid Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,379
The North Face Thermoball Hoodie - Women's,Women's Synthetic Insulation Jackets,354
REI Motility Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,510
Patagonia Nano Puff Hoodie Jacket - Men's,Men's Synthetic Insulation Jackets,368
Marmot Minimalist Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,425
The North Face ThermoBall Triclimate 3-in-1 Jacket - Women's,Women's Synthetic Insulation Jackets,739
The North Face ThermoBall Jacket - Women's,Women's Synthetic Insulation Jackets,328
The North Face Apex Bionic Jacket - Women's,Women's Soft-Shell Jackets,581
Outdoor Research Helium II Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,181
The North Face Resolve Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,453
Arc'teryx Gamma MX Jacket - Men's,Men's Soft-Shell Jackets,510
Outdoor Research Aspire Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,388
Marmot Bastione Component 3-in-1 Jacket - Men's,Men's Synthetic Insulation Jackets,1417
REI Stratocloud Jacket - Men's,Men's Down Jackets,510
REI Co-Op Quarter-Zip Fleece Pullover - Men's,Men's Fleece Jackets,226
The North Face ThermoBall Triclimate 3-in-1 Jacket - Men's,Men's Synthetic Insulation Jackets,921
Arc'teryx Beta LT Jacket - Women's,Women's Multi-Sport Rain Jackets,411
REI Motility Rain Jacket - Men's,Men's Multi-Sport Rain Jackets,538
Patagonia Adze Hybrid Jacket - Men's,Men's Soft-Shell Jackets,586
Mountain Hardwear Plasmic Ion Rain Jacket - Women's,Women's Multi-Sport Rain Jackets,283
Marmot PreCip Rain Jacket - Boys',Kids' Multi-Sport Rain Jackets,274
Arc'teryx Fission SV Insulated Jacket - Men's,Men's Synthetic Insulation Jackets,935
Patagonia Nano-Air Hoodie - Men's,Men's Synthetic Insulation Jackets,385
Outdoor Research Ferrosi Hoody Jacket - Men's,Men's Soft-Shell Jackets,394
The North Face Crescent Sunset Full-Zip Fleece Jacket - Women's,Women's Fleece Jackets,408
The North Face Oso Hoodie - Girls',Kids' Fleece Jackets,343
Mountain Hardwear Ghost Whisperer Down Jacket - Men's,Men's Down Jackets,198
REI Rainwall Jacket - Women's,Women's Multi-Sport Rain Jackets,425
Patagonia Nano Puff Pullover - Women's,Women's Synthetic Insulation Jackets,255
Arc'teryx Cerium LT Hoodie Down Jacket - Women's,Women's Down Jackets,255
Arc'teryx Beta LT Hybrid Rain Jacket  - Women's,Women's Multi-Sport Rain Jackets,345
Patagonia Adze Hybrid Jacket - Women's,Women's Soft-Shell Jackets,487
Marmot PreCip Rain Jacket - Girls',Kids' Multi-Sport Rain Jackets,249
Mountain Hardwear Ghost Whisperer Down Jacket - Women's,Women's Down Jackets,170
REI Stratocloud Jacket - Women's,Women's Down Jackets,396
The North Face Denali Fleece Jacket - Men's,Men's Fleece Jackets,841
Arc'teryx Thorium AR Down Jacket - Men's,Men's Down Jackets,360
