name,category,weight
Petzl Nomic Ice Tool,Ice Tools,605
Black Diamond Raven Ice Axe - 60 CM,Ice Axes,452
Black Diamond Raven Ice Axe - 65 CM,Ice Axes,0
Black Diamond Raven Ice Axe - 70 CM,Ice Axes,0
Black Diamond Raven Ice Axe - 75 CM,Ice Axes,0
Petzl Summit Ice Axe - 2014,Ice Axes,495
Black Diamond Viper Ice Tool - Hammer,Ice Tools,625
Black Diamond Viper Ice Tool - Adze,Ice Tools,655
Grivel X Blade Ice Climbing Tool,Ice Tools,695
Black Diamond Raven Pro Ice Axe - 55 CM,Ice Axes,377
Black Diamond Raven Pro Ice Axe - 60 CM,Ice Axes,392
Black Diamond Raven Pro Ice Axe - 65 CM,Ice Axes,407
Black Diamond Raven Pro Ice Axe - 70 CM,Ice Axes,422
Grivel G1+ S.A. Ice Axe with Leash - 74cm,Ice Axes,553
Black Diamond Axe Protector,Ice Axe and Ice Tool Accessories,39
Black Diamond Slinger Ice Axe Leash,Ice Axe and Ice Tool Accessories,54
Black Diamond Spike Protector,Ice Axe and Ice Tool Accessories,13
Black Diamond Slider Ice Axe Leash,Ice Axe and Ice Tool Accessories,50
Black Diamond Lockdown Ice Axe Leash,Ice Axe and Ice Tool Accessories,58
Petzl Quark Ice Tool - Adze,Ice Tools,550
Petzl Quark Ice Tool - Hammer,Ice Tools,550
Grivel G1+ S.A. Ice Axe with Leash - 58cm,Ice Axes,408
Grivel G1+ S.A. Ice Axe with Leash - 66cm,Ice Axes,508
Petzl LIM'ICE Ice Screw Sharpener,Ice Tools,162
Black Diamond Fuel Ice Tool,Ice Tools,623
C.A.M.P. USA Neve Ice Axe,Ice Axes,425
Petzl Freelock Leash,Ice Axe and Ice Tool Accessories,40
Grivel G1 Ice Axe,Ice Axes,0
