name,category,weight
Salomon Speedcross 3 Trail-Running Shoes - Men's,Men's Trail-Running Shoes,623
HOKA ONE ONE Clifton 2 Road-Running Shoes - Men's,Men's Road-Running Shoes,28
Salomon XA Pro 3D Waterproof Trail-Running Shoes - Men's,Men's Trail-Running Shoes,623
Salomon Speedcross 3 CS Trail-Running Shoes - Men's,Men's Trail-Running Shoes,623
The North Face Ultra 109 Gore-Tex XCR Trail-Running Shoes - Men's,Men's Trail-Running Shoes,765
Salomon XA Pro 3D Trail-Running Shoes - Men's,Men's Trail-Running Shoes,700
La Sportiva Wildcat Trail-Running Shoes - Men's,Men's Trail-Running Shoes,708
Merrell Trail Glove 3 Trail-Running Shoes - Men's,Men's Trail-Running Shoes,396
Brooks Adrenaline GTS 15 Road-Running Shoes - Men's,Men's Road-Running Shoes,311
Vasque Mindbender Trail-Running Shoes - Men's,Men's Trail-Running Shoes,652
Vibram FiveFingers Spyridon MR Trail-Running Shoes - Men's,Men's Trail-Running Shoes,445
Altra Lone Peak 2.5 Trail-Running Shoes - Men's,Men's Trail-Running Shoes,601
Salomon XA Comp 7 CS WP Trail-Running Shoes - Men's,Men's Trail-Running Shoes,697
Vibram FiveFingers KMD Sport LS Shoes - Men's,Men's Cross-Training Shoes,408
HOKA ONE ONE Challenger ATR Trail-Running Shoes - Men's,Men's Trail-Running Shoes,487
Brooks Beast 14 Road-Running Shoes - Men's,Men's Road-Running Shoes,782
Salomon XA Pro 3D GTX Trail-Running Shoes - Men's,Men's Trail-Running Shoes,714
HOKA ONE ONE Speedgoat Trail-Running Shoes - Men's,Men's Trail-Running Shoes,28
adidas Terrex Boost GTX Trail-Running Shoes - Men's,Men's Trail-Running Shoes,578
New Balance MT10v3 Minimus Trail-Running Shoes - Men's,Men's Trail-Running Shoes,396
La Sportiva Wildcat 2.0 GTX Trail-Running Shoes - Men's,Men's Trail-Running Shoes,802
Brooks Cascadia 10 Trail-Running Shoes - Men's,Men's Trail-Running Shoes,337
Saucony Peregrine 5 Trail-Running Shoes - Men's,Men's Trail-Running Shoes,28
Brooks Ghost 8 Road-Running Shoes - Men's,Men's Road-Running Shoes,291
Merrell Bare Access 4 Road-Running Shoes - Men's,Men's Road-Running Shoes,391
