name,category,weight
ENO DoubleNest Hammock,Camping Hammocks,623
Therm-a-Rest NeoAir XLite Sleeping Pad - S,Sleeping Pads,226
Therm-a-Rest NeoAir XLite Sleeping Pad - L,Sleeping Pads,28
Therm-a-Rest NeoAir XLite Sleeping Pad - Regular,Sleeping Pads,340
REI Camp Bed 3.5 Self-Inflating Sleeping Pad - XL,Sleeping Pads,2806
REI Camp Bed 3.5 Self-Inflating Sleeping Pad - Regular,Sleeping Pads,2069
ENO Atlas Hammock Suspension System,Hammock Straps,311
Therm-a-Rest NeoAir XTherm Sleeping Pad - L,Sleeping Pads,566
Therm-a-Rest NeoAir XTherm Sleeping Pad - Regular,Sleeping Pads,425
Therm-a-Rest Trail Scout Sleeping Pad - M,Sleeping Pads,566
Therm-a-Rest Trail Scout Sleeping Pad - L,Sleeping Pads,850
Therm-a-Rest Trail Scout Sleeping Pad - Regular,Sleeping Pads,623
Therm-a-Rest ProLite Plus Sleeping Pad - S,Sleeping Pads,396
Therm-a-Rest ProLite Plus Sleeping Pad - L,Sleeping Pads,765
Therm-a-Rest ProLite Plus Sleeping Pad - Regular,Sleeping Pads,566
ENO SingleNest Hammock,Camping Hammocks,510
Therm-a-Rest LuxuryMAP Sleeping Pad - L,Sleeping Pads,1899
Therm-a-Rest LuxuryMAP Sleeping Pad - XL,Sleeping Pads,2324
Therm-a-Rest LuxuryMAP Sleeping Pad - Regular,Sleeping Pads,1474
REI AirRail 1.5 Self-Inflating Sleeping Pad - Long,Sleeping Pads,765
REI AirRail 1.5 Self-Inflating Sleeping Pad - Long Wide,Sleeping Pads,878
REI AirRail 1.5 Self-Inflating Sleeping Pad - Regular,Sleeping Pads,737
Exped Mega Mat 10 Sleeping Pad,Sleeping Pads,2474
Therm-a-Rest Z Lite Sol Sleeping Pad - S,Sleeping Pads,283
Therm-a-Rest Z Lite Sol Sleeping Pad - Regular,Sleeping Pads,396
REI Relax Air Bed - Queen,Air Mattresses,2523
ENO PCTA DoubleNest Hammock,Camping Hammocks,538
Exped SIM MegaMat Duo Sleeping Pad,Sleeping Pads,4499
Therm-a-Rest LuxuryLite UltraLite Cot - L,Cots,1417
Therm-a-Rest LuxuryLite UltraLite Cot - Regular,Cots,1247
REI AirRail 1.5 Self-Inflating Sleeping Pad - Women's - Regular,Sleeping Pads,708
Therm-a-Rest RidgeRest SOlite Sleeping Pad - LARGE /25X77,Sleeping Pads,538
Therm-a-Rest RidgeRest SOlite Sleeping Pad - REG /20X72,Sleeping Pads,396
Therm-a-Rest RidgeRest SOlite Sleeping Pad - S/20 IN X 48 IN,Sleeping Pads,255
Therm-a-Rest NeoAir XTherm MAX Sleeping Pad - L,Sleeping Pads,652
Therm-a-Rest NeoAir XTherm MAX Sleeping Pad - Regular,Sleeping Pads,481
REI Kingdom Sleep System - Queen,Air Mattresses,7059
Therm-a-Rest Compressible Pillow - S,Camping Pillows,198
Therm-a-Rest Compressible Pillow - M,Camping Pillows,255
Therm-a-Rest Compressible Pillow - L,Camping Pillows,340
Therm-a-Rest Compressible Pillow - XL,Camping Pillows,425
