name,category,weight
REI Alcove Shelter,Shade Shelters,7087
REI Connect Tech Garage,Vestibules,2097
REI Adjustable Tarp Pole - Single - 8 FT,General Tent Accessories,765
Caddis Rapid Shelter - 10' x 10',Shade Shelters,23995
Outdoor Research Helium Bivy,Bivy Sacks,510
Outdoor Research Alpine Bivy,Bivy Sacks,907
ENO Guardian Bug Net,Bug Shelters,453
REI Passage 2 Footprint,Tent Footprints,255
REI Half Dome 2 Plus Footprint,Tent Footprints,255
ENO HouseFly Rain Tarp,Tarp Shelters,708
REI Kingdom 6 Footprint,Tent Footprints,1162
REI Alcove Windwalls,Shade Shelter Accessories,737
ENO Twilights LED Light String,General Tent Accessories,113
Big Agnes Flying Diamond 8 Footprint,Tent Footprints,1219
Space All-Weather Blanket,Emergency Supplies,340
REI Kingdom 8 Footprint,Tent Footprints,1332
Kelty Noah's Tarp - 16' x 16' - Putty,Tarp Shelters,1644
Big Agnes Copper Spur UL 2 Footprint,Tent Footprints,141
MSR Ground Hog Stake,Tent Stakes,20
Big Agnes Flying Diamond 6 Footprint,Tent Footprints,992
Caddis Rapid Shelter - 10' x 20',Shade Shelters,42002
Big Agnes Three Forks Shelter,Shade Shelters,3260
REI Screen House Shelter,Shade Shelters,5896
Kelty Noah's Tarp - 12' x 12',Shade Shelters,935
Easton Mountain Products Sundial Shelter - S,Shade Shelters,850
Easton Mountain Products Sundial Shelter - L,Shade Shelters,1956
REI Kingdom 4 Footprint,Tent Footprints,907
The North Face Stormbreak 2 Footprint,Tent Footprints,138
Kelty Noah's Tarp - 9' x 9',Tarp Shelters,652
MSR Hubba Hubba NX Footprint,Tent Footprints,198
Big Agnes Copper Spur UL 3 Footprint,Tent Footprints,255
Marmot Limestone 6 Footprint,Tent Footprints,609
NEMO Bugout Shelter - 9x9 FT,Shade Shelters,1956
NEMO Bugout Shelter - 12x12 FT,Shade Shelters,2948
Big Agnes Copper Spur UL 4 Footprint,Tent Footprints,340
Big Agnes Fly Creek UL 2 Footprint,Tent Footprints,141
Outdoor Research Molecule Bivy Sack - Long,Bivy Sacks,28
Outdoor Research Molecule Bivy Sack - Regular,Bivy Sacks,28
REI Minimalist Bivy - Regular,Bivy Sacks,425
CGear Multimats Sand-Free Multimat - Medium 8 x 8,General Tent Accessories,2721
Caddis Rapid Shelter Wall - 10' x 10',Shade Shelter Accessories,1301
Big Agnes mtnGLO Light Accessory Kit,General Tent Accessories,85
REI Bug Hut Pro 1 Shelter,Bug Shelters,595
Big Agnes Seedhouse SL 2 Footprint,Tent Footprints,141
SOL Escape Lite Bivvy,Bivy Sacks,155
Big Agnes Big House 4 Vestibule,Vestibules,1275
Sea to Summit Escapist Tarp Shelter - M,Tarp Shelters,269
Sea to Summit Escapist Tarp Shelter - L,Tarp Shelters,348
Wenzel Panorama Shade Shelter - 2012,Shade Shelters,9979
ENO Guardian Bug Net SL,Bug Shelters,368
Kelty Salida 2 Footprint,Tent Footprints,255
SOL Escape Bivy,Emergency Supplies,229
REI Quarter Dome 3 Footprint,Tent Footprints,340
Caddis Rapid Shelter - 8' x 8',Shade Shelters,21001
REI InCamp Shelter 100,Shade Shelters,3657
Marmot Limestone 8 Footprint,Tent Footprints,986
Outdoor Research Advanced Bivy Sack,Bivy Sacks,1105
REI Camp Dome 2 Footprint,Tent Footprints,311
Outdoor Products All Purpose Tarp - 6x8 FT,Tarps,396
Outdoor Products All Purpose Tarp - 8x10 FT,Tarps,453
Outdoor Products All Purpose Tarp - 12x14 FT,Tarps,566
Caddis Rapid Shelter - 10' x 15',Shade Shelters,30980
Kelty Cabana Shelter,Shade Shelters,2778
REI Half Dome 2 Footprint,Tent Footprints,255
REI Passage 1 Footprint,Tent Footprints,170
SOL Emergency Bivvy,Emergency Supplies,107
REI Aluminum Hook Tent Stake,Tent Stakes,9
