name,category,weight
The North Face Apex Bionic Jacket - Men's,Men's Soft-Shell Jackets,28
REI Madrona Rain Jacket - Women's,Women's Casual Rain Jackets,680
REI Huntington Trench Rain Jacket - Women's,Women's Casual Rain Jackets,680
ExOfficio Stratiform Rain Trench Coat - Men's - 2014,Men's Casual Jackets,708
ExOfficio Storm Logic Jacket - Women's - 2014,Women's Synthetic Insulation Jackets,467
The North Face Apex Bionic Jacket - Men's - 2015,Men's Soft-Shell Jackets,28
REI Belltown Rain Jacket - Women's,Women's Casual Rain Jackets,595
ExOfficio BugsAway Damselfly Jacket - Women's,Women's Casual Jackets,170
The North Face Romera Rain Jacket - Women's,Women's Casual Rain Jackets,28
The North Face Gordon Lyons Fleece Hoodie - Men's,Men's Fleece Jackets,541
ExOfficio FlyQ Parka - Men's - 2014,Men's Casual Jackets,680
Royal Robbins Discovery Travel Blazer - Women's - 2015,Women's Casual Jackets,131
ExOfficio Storm Logic Jacket - Men's - 2014,Men's Synthetic Insulation Jackets,411
ExOfficio FlyQ Vest - Men's - 2014,Men's Casual Jackets,28
Kuhl Rekon Jacket - Men's,Men's Casual Jackets,680
Toad&Co Enroute ShirtJac - Men's,Men's Casual Jackets,453
ExOfficio FlyQ Lite Jacket - Women's - 2014,Women's Casual Jackets,396
ExOfficio Storm Logic Vest - Men's - 2014,Men's Synthetic Insulation Jackets,368
ExOfficio Perflexion Jacket - Women's - 2014,Women's Soft-Shell Jackets,396
ExOfficio Storm Logic Vest - Women's - 2014,Women's Synthetic Insulation Jackets,354
